ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	1	1	1
Cell2	1	1	1	1
Cell3	1	4	3	3
Cell4	1	4	3	3
Cell5	1	1	1	1
Cell6	1	3	3	3
Cell7	1	6	3	2
Cell8	1	2	4	4
Cell9	1	8	1	1
Cell10	1	5	2	4
Cell12	1	4	3	3
Cell13	1	3	3	3
Cell14	1	4	3	3
Cell15	1	6	3	2
Cell16	1	8	1	1
Cell17	1	1	1	1
Cell18	1	3	3	3
Cell19	1	4	3	3
Cell21	1	4	3	3
Cell22	1	9	3	2
Cell23	1	2	4	4
Cell24	1	7	3	2
Cell25	1	6	3	2
Cell26	1	3	3	3
Cell27	1	2	2	4
Cell28	1	5	2	4
Cell29	1	3	3	3
Cell30	1	1	1	1
Cell31	1	3	3	3
Cell32	1	9	3	2
Cell33	1	7	3	2
Cell34	1	6	3	2
Cell35	1	4	3	3
Cell36	1	9	3	2
Cell37	1	1	1	1
Cell38	1	9	3	2
Cell39	1	4	3	3
Cell40	1	3	3	3
Cell41	1	1	1	1
Cell43	1	5	2	4
Cell44	1	8	1	1
Cell45	1	1	1	1
Cell46	1	3	3	3
Cell47	1	2	4	4
Cell48	1	1	1	1
Cell49	1	1	1	1
Cell50	1	2	4	4
Cell53	1	1	1	1
Cell54	1	1	1	1
Cell55	1	1	1	1
Cell56	1	7	3	2
Cell57	1	5	2	4
Cell58	1	2	4	4
Cell59	1	9	3	2
Cell60	1	5	2	4
Cell61	1	5	2	4
Cell62	1	4	3	3
Cell63	1	1	1	1
Cell65	1	7	3	2
Cell66	1	7	3	2
Cell67	1	1	1	1
Cell68	1	3	3	3
Cell69	1	6	3	2
Cell70	1	5	2	4
Cell71	1	3	3	3
Cell73	1	1	1	1
Cell74	1	2	2	4
Cell75	1	3	3	3
Cell76	1	5	2	4
Cell77	1	1	1	1
Cell78	1	2	2	4
Cell79	1	7	3	2
Cell80	1	9	3	2
Cell81	1	5	2	4
Cell82	1	8	1	1
Cell83	1	5	2	4
Cell84	1	3	3	3
Cell85	1	6	3	2
Cell87	1	2	4	4
Cell88	1	8	1	1
Cell89	1	5	2	4
Cell90	1	3	3	3
Cell91	1	1	1	1
Cell92	1	8	1	1
Cell93	1	2	4	4
Cell94	1	1	1	1
Cell95	1	2	4	4
Cell96	1	3	3	3
Cell97	1	1	1	1
Cell98	1	5	2	4
Cell99	1	7	3	2
Cell100	1	1	1	1
Cell101	1	1	1	1
Cell102	1	2	2	4
Cell103	1	7	3	2
Cell104	1	9	3	2
Cell105	1	8	1	1
Cell106	1	4	3	3
Cell107	1	6	3	2
Cell108	1	3	3	3
Cell109	1	4	3	3
Cell110	1	9	3	2
Cell111	1	4	3	3
Cell112	1	3	3	3
Cell114	1	7	3	2
Cell115	1	8	1	1
Cell117	1	3	3	3
Cell118	1	4	3	3
Cell119	1	1	1	1
Cell120	1	1	1	1
Cell121	1	6	3	2
Cell122	1	1	1	1
Cell123	1	3	3	3
Cell124	1	2	4	4
Cell125	1	2	4	4
Cell126	1	1	1	1
Cell127	1	5	2	4
Cell128	1	7	3	2
Cell129	1	5	2	4
Cell130	1	1	1	1
Cell131	1	1	1	1
Cell132	1	1	1	1
Cell133	1	4	3	3
Cell134	1	1	1	1
Cell135	1	5	2	4
Cell136	1	1	1	1
Cell137	1	8	1	1
Cell138	1	6	3	2
Cell139	1	7	3	2
Cell140	1	4	3	3
Cell141	1	3	3	3
Cell142	1	9	3	2
Cell143	1	7	3	2
Cell144	1	9	3	2
Cell146	1	6	3	2
Cell147	1	4	3	3
Cell148	1	8	1	1
Cell149	1	1	1	1
Cell150	1	6	3	2
Cell151	1	5	2	4
Cell152	1	8	1	1
Cell153	1	5	2	4
Cell154	1	3	3	3
Cell155	1	7	3	2
Cell156	1	3	3	3
Cell157	1	4	3	3
Cell158	1	4	3	3
Cell159	1	7	3	2
Cell160	1	2	4	4
Cell161	1	5	2	4
Cell163	1	3	3	3
Cell164	1	1	1	1
Cell165	1	3	3	3
Cell166	1	2	4	4
Cell167	1	9	3	2
Cell168	1	9	3	2
Cell169	1	2	4	4
Cell170	1	4	3	3
Cell171	1	5	2	4
Cell172	1	2	2	4
Cell173	1	7	3	2
Cell174	1	6	3	2
Cell176	1	1	1	1
Cell177	1	3	3	3
Cell178	1	2	4	4
Cell179	1	3	3	3
Cell180	1	4	3	3
Cell181	1	1	1	1
Cell182	1	1	1	1
Cell183	1	1	1	1
Cell184	1	7	3	2
Cell185	1	2	4	4
Cell186	1	5	2	4
Cell187	1	6	3	2
Cell188	1	6	3	2
Cell189	1	1	1	1
Cell190	1	7	3	2
Cell191	1	4	3	3
Cell192	1	8	1	1
Cell193	1	7	3	2
Cell194	1	1	1	1
Cell196	1	1	1	1
Cell197	1	2	4	4
Cell198	1	5	2	4
Cell199	1	5	2	4
Cell200	1	6	3	2
Cell201	1	8	1	1
Cell202	1	4	3	3
Cell203	1	6	3	2
Cell204	1	6	3	2
Cell205	1	8	1	1
Cell206	1	3	3	3
Cell207	1	6	3	2
Cell208	1	9	3	2
Cell209	1	8	1	1
Cell210	1	5	2	4
Cell211	1	1	1	1
Cell212	1	4	3	3
Cell213	1	3	3	3
Cell214	1	1	1	1
Cell215	1	4	3	3
Cell216	1	2	4	4
Cell217	1	2	4	4
Cell218	1	1	1	1
Cell219	1	6	3	2
Cell220	1	1	1	1
Cell221	1	4	3	3
Cell222	1	4	3	3
Cell223	1	3	3	3
Cell224	1	1	1	1
Cell225	1	6	3	2
Cell226	1	5	2	4
Cell227	1	7	3	2
Cell228	1	5	2	4
Cell229	1	9	3	2
Cell230	1	7	3	2
Cell231	1	9	3	2
Cell232	1	5	2	4
Cell233	1	4	3	3
Cell234	1	7	3	2
Cell235	1	1	1	1
Cell236	1	7	3	2
Cell237	1	3	3	3
Cell238	1	8	1	1
Cell239	1	7	3	2
Cell240	1	8	1	1
Cell241	1	4	3	3
Cell242	1	3	3	3
Cell243	1	2	2	4
Cell244	1	3	3	3
Cell245	1	5	2	4
Cell246	1	6	3	2
Cell247	1	2	4	4
Cell248	1	6	3	2
Cell249	1	3	3	3
Cell250	1	1	1	1
Cell251	1	7	3	2
Cell252	1	1	1	1
Cell253	1	1	1	1
Cell254	1	5	2	4
Cell255	1	9	3	2
Cell256	1	3	3	3
Cell257	1	3	3	3
Cell258	1	4	3	3
Cell259	1	2	4	4
Cell260	1	9	3	2
Cell261	1	3	3	3
Cell262	1	5	2	4
Cell263	1	2	4	4
Cell264	1	1	1	1
Cell265	1	2	4	4
Cell267	1	4	3	3
Cell268	1	1	1	1
Cell269	1	4	3	3
Cell270	1	3	3	3
Cell271	1	3	3	3
Cell272	1	2	2	4
Cell273	1	9	3	2
Cell274	1	8	1	1
Cell275	1	4	3	3
Cell276	1	3	3	3
Cell277	1	8	1	1
Cell278	1	2	2	4
Cell279	1	5	2	4
Cell280	1	1	1	1
Cell281	1	5	2	4
Cell283	1	2	4	4
Cell284	1	9	3	2
Cell285	1	2	2	4
Cell286	1	1	1	1
Cell287	1	1	1	1
Cell288	1	4	3	3
Cell289	1	5	2	4
Cell290	1	1	1	1
Cell292	1	5	2	4
Cell293	1	8	1	1
Cell294	1	1	1	1
Cell295	1	2	4	4
Cell297	1	6	3	2
Cell298	1	9	3	2
Cell299	1	9	3	2
Cell300	1	3	3	3
Cell301	1	1	1	1
Cell302	1	7	3	2
Cell303	1	4	3	3
Cell304	1	9	3	2
Cell305	1	6	3	2
Cell306	1	5	2	4
Cell307	1	1	1	1
Cell308	1	1	1	1
Cell309	1	2	4	4
Cell310	1	5	2	4
Cell311	1	6	3	2
Cell312	1	8	1	1
Cell313	1	5	2	4
Cell314	1	3	3	3
Cell315	1	2	4	4
Cell316	1	7	3	2
Cell317	1	2	4	4
Cell318	1	2	4	4
Cell319	1	4	3	3
Cell320	1	1	1	1
Cell321	1	6	3	2
Cell322	1	1	1	1
Cell323	1	8	1	1
Cell324	1	2	2	4
Cell325	1	1	1	1
Cell326	1	1	1	1
Cell327	1	1	1	1
Cell328	1	1	1	1
Cell329	1	6	3	2
Cell330	1	2	4	4
Cell331	1	8	1	1
Cell332	1	5	2	4
Cell333	1	8	1	1
Cell334	1	5	2	4
Cell335	1	2	2	4
Cell336	1	8	1	1
Cell338	1	1	1	1
Cell339	1	4	3	3
Cell340	1	1	1	1
Cell341	1	8	1	1
Cell342	1	4	3	3
Cell343	1	2	4	4
Cell344	1	4	3	3
Cell345	1	8	1	1
Cell346	1	5	2	4
Cell347	1	2	4	4
Cell348	1	1	1	1
Cell349	1	8	1	1
Cell350	1	1	1	1
Cell351	1	1	1	1
Cell352	1	7	3	2
Cell353	1	1	1	1
Cell354	1	3	3	3
Cell355	1	8	1	1
Cell356	1	1	1	1
Cell357	1	5	2	4
Cell358	1	3	3	3
Cell359	1	6	3	2
Cell360	1	2	4	4
Cell361	1	7	3	2
Cell362	1	3	3	3
Cell363	1	8	1	1
Cell364	1	2	2	4
Cell365	1	1	1	1
Cell366	1	8	1	1
Cell367	1	9	3	2
Cell368	1	4	3	3
Cell369	1	5	2	4
Cell370	1	3	3	3
Cell371	1	9	3	2
Cell372	1	6	3	2
Cell373	1	4	3	3
Cell374	1	6	3	2
Cell375	1	3	3	3
Cell376	1	2	2	4
Cell377	1	2	4	4
Cell378	1	4	3	3
Cell379	1	2	2	4
Cell380	1	4	3	3
Cell382	1	3	3	3
Cell383	1	2	4	4
Cell384	1	1	1	1
Cell385	1	6	3	2
Cell386	1	6	3	2
Cell387	1	8	1	1
Cell388	1	3	3	3
Cell389	1	2	4	4
Cell391	1	3	3	3
Cell392	1	7	3	2
Cell393	1	9	3	2
Cell394	1	7	3	2
Cell395	1	3	3	3
Cell396	1	1	1	1
Cell397	1	3	3	3
Cell398	1	1	1	1
Cell399	1	2	2	4
Cell400	1	4	3	3
Cell401	1	8	1	1
Cell402	1	4	3	3
Cell403	1	3	3	3
Cell404	1	4	3	3
Cell405	1	9	3	2
Cell406	1	4	3	3
Cell407	1	2	4	4
Cell408	1	8	1	1
Cell409	1	6	3	2
Cell410	1	7	3	2
Cell411	1	5	2	4
Cell412	1	8	1	1
Cell413	1	7	3	2
Cell415	1	9	3	2
Cell417	1	2	2	4
Cell418	1	8	1	1
Cell419	1	1	1	1
Cell420	1	1	1	1
Cell421	1	2	4	4
Cell422	1	3	3	3
Cell423	1	6	3	2
Cell424	1	6	3	2
Cell425	1	1	1	1
Cell426	1	7	3	2
Cell427	1	1	1	1
Cell428	1	3	3	3
Cell429	1	9	3	2
Cell430	1	8	1	1
Cell431	1	9	3	2
Cell432	1	9	3	2
Cell433	1	4	3	3
Cell434	1	2	4	4
