,size,numLabels,time,CPUs
0,957,2,265.2632273,1
1,953,4,352.6778182,1
2,953,8,537.333,1
3,959,16,884.9337727,1
4,953,32,1575.790545,1
5,951,64,2936.940455,1
6,1892,2,448.7194545,1
7,1896,4,617.4066364,1
8,1895,8,943.7697273,1
9,1898,16,1593.835773,1
10,1900,32,2852.112955,1
11,1902,64,5377.696773,1
12,2836,2,594.0063636,1
13,2841,4,865.3238636,1
14,2843,8,1371.237864,1
15,2841,16,2320.023455,1
16,2839,32,4168.615091,1
17,2845,64,8094.301727,1
18,3792,2,796.5910455,1
19,3798,4,1140.622955,1
20,3788,8,1819.861182,1
21,3783,16,3092.036864,1
22,3791,32,5525.068182,1
23,3792,64,10516.43514,1
24,4739,2,972.2815,1
25,4742,4,1413.805727,1
26,4744,8,2249.464909,1
27,4744,16,3850.136182,1
28,4746,32,7010.371591,1
29,4740,64,13409.60359,1
30,5697,2,1133.378545,1
31,5687,4,1639.773864,1
32,5690,8,2646.100045,1
33,5682,16,4464.229045,1
34,5691,32,8096.998045,1
35,5691,64,15639.34459,1
36,6653,2,1406.798864,1
37,6643,4,2085.147182,1
38,6648,8,3341.250182,1
39,6645,16,5646.326955,1
40,6640,32,10426.07518,1
41,6643,64,19980.552,1
42,7600,2,1618.884318,1
43,7602,4,2340.030182,1
44,7598,8,3776.341864,1
45,7601,16,6470.029818,1
46,7602,32,11794.15595,1
47,7596,64,22290.60086,1
48,8560,2,1825.346091,1
49,8550,4,2628.500636,1
50,8536,8,4197.588545,1
51,8541,16,7205.139045,1
52,8548,32,13493.82414,1
53,8540,64,26055.18064,1
54,9488,2,2140.474136,1
55,9500,4,3051.646864,1
56,9497,8,4913.496,1
57,9498,16,8494.179682,1
58,9499,32,15778.36673,1
59,9505,64,28210.09732,1
60,957,2,150.30588,2
61,953,4,193.92908,2
62,953,8,282.72564,2
63,959,16,447.28808,2
64,953,32,779.77032,2
65,951,64,1444.14704,2
66,1892,2,238.68324,2
67,1896,4,323.15976,2
68,1895,8,495.96404,2
69,1898,16,840.56772,2
70,1900,32,1495.73796,2
71,1902,64,2754.41964,2
72,2836,2,329.69748,2
73,2841,4,470.8882,2
74,2843,8,735.17108,2
75,2841,16,1237.284,2
76,2839,32,2217.20492,2
77,2845,64,4208.50856,2
78,3792,2,431.88376,2
79,3798,4,614.18252,2
80,3788,8,965.0328,2
81,3783,16,1647.68616,2
82,3791,32,2978.32724,2
83,3792,64,5642.42412,2
84,4739,2,535.2556,2
85,4742,4,766.09196,2
86,4744,8,1206.73688,2
87,4744,16,2044.00152,2
88,4746,32,3619.27644,2
89,4740,64,6876.92984,2
90,5697,2,624.96772,2
91,5687,4,911.9152,2
92,5690,8,1444.30196,2
93,5682,16,2434.99884,2
94,5691,32,4568.5838,2
95,5691,64,8890.257,2
96,6653,2,796.09852,2
97,6643,4,1144.6894,2
98,6648,8,1799.05552,2
99,6645,16,3039.61164,2
100,6640,32,5519.22208,2
101,6643,64,10420.33812,2
102,7600,2,874.12024,2
103,7602,4,1250.7988,2
104,7598,8,1976.7868,2
105,7601,16,3392.38124,2
106,7602,32,6138.76568,2
107,7596,64,11738.35104,2
108,8560,2,1013.86744,2
109,8550,4,1439.79192,2
110,8536,8,2281.82396,2
111,8541,16,3897.46,2
112,8548,32,7135.0982,2
113,8540,64,14395.30768,2
114,9488,2,1153.7732,2
115,9500,4,1656.72988,2
116,9497,8,2624.55872,2
117,9498,16,4380.2058,2
118,9499,32,7985.34448,2
119,9505,64,15155.1482,2
120,957,2,93.2892381,4
121,953,4,111.9421905,4
122,953,8,152.4361905,4
123,959,16,231.0815714,4
124,953,32,389.8934286,4
125,951,64,711.0568095,4
126,1892,2,136.803381,4
127,1896,4,175.597,4
128,1895,8,258.1680476,4
129,1898,16,416.3153333,4
130,1900,32,732.5735238,4
131,1902,64,1367.789,4
132,2836,2,182.6385714,4
133,2841,4,243.3078095,4
134,2843,8,366.7408095,4
135,2841,16,602.291,4
136,2839,32,1065.586667,4
137,2845,64,2020.398619,4
138,3792,2,225.8317143,4
139,3798,4,340.2349048,4
140,3788,8,480.5760476,4
141,3783,16,786.602,4
142,3791,32,1406.559762,4
143,3792,64,2666.170333,4
144,4739,2,271.748619,4
145,4742,4,377.6938095,4
146,4744,8,585.2507143,4
147,4744,16,974.0895238,4
148,4746,32,1746.129952,4
149,4740,64,3341.998,4
150,5697,2,320.7629524,4
151,5687,4,448.109619,4
152,5690,8,696.6837619,4
153,5682,16,1159.814762,4
154,5691,32,2088.540857,4
155,5691,64,3963.923952,4
156,6653,2,371.2246667,4
157,6643,4,523.2382381,4
158,6648,8,823.7112857,4
159,6645,16,1362.364524,4
160,6640,32,2475.393381,4
161,6643,64,4773.694952,4
162,7600,2,433.1151429,4
163,7602,4,609.8519048,4
164,7598,8,957.0722381,4
165,7601,16,1601.343429,4
166,7602,32,2876.421429,4
167,7596,64,5496.665286,4
168,8560,2,484.1732381,4
169,8550,4,676.1106667,4
170,8536,8,1060.437952,4
171,8541,16,1783.625238,4
172,8548,32,3227.983952,4
173,8540,64,6139.522,4
174,9488,2,537.6954286,4
175,9500,4,765.7618095,4
176,9497,8,1200.207952,4
177,9498,16,2027.564762,4
178,9499,32,3664.960857,4
179,9505,64,7113.852619,4
180,957,2,83.13042857,8
181,953,4,92.37333333,8
182,953,8,114.7566667,8
183,959,16,160.7770952,8
184,953,32,256.2953333,8
185,951,64,453.8633333,8
186,1892,2,109.1034286,8
187,1896,4,130.1581905,8
188,1895,8,178.1569524,8
189,1898,16,272.055381,8
190,1900,32,464.4114286,8
191,1902,64,852.636381,8
192,2836,2,133.1064762,8
193,2841,4,170.7145714,8
