,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,60.029,31.461,0.855,1.000,1.000,0.855,1.000,1.000,0.855,1.000,1.000,0.335,0.171,0.439,0.366,0.313,0.535,12,7
1,953,4,63.390,35.611,0.905,1.000,1.000,0.905,1.000,1.000,0.905,1.000,1.000,0.360,0.441,0.720,0.462,0.748,0.854,12,7
2,953,8,69.651,42.353,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,0.888,1.000,1.000,8,8
3,959,16,81.113,58.325,0.818,0.788,0.932,0.843,0.972,0.977,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,115.813,87.445,0.556,0.624,0.745,0.524,0.603,0.742,0.551,0.620,0.745,0.529,0.515,0.731,0.482,0.409,0.704,20,17
5,951,64,182.295,149.430,0.310,0.146,0.516,0.292,0.135,0.508,0.367,0.171,0.524,0.338,0.091,0.366,0.352,0.059,0.289,14,8
6,1892,2,65.649,37.891,0.874,1.000,1.000,0.874,1.000,1.000,0.874,1.000,1.000,0.306,0.122,0.393,0.318,0.241,0.487,18,9
7,1896,4,72.483,47.003,0.882,1.000,1.000,0.882,1.000,1.000,0.882,1.000,1.000,0.295,0.346,0.667,0.333,0.578,0.782,17,9
8,1895,8,85.988,64.247,0.898,1.000,1.000,0.898,1.000,1.000,0.898,1.000,1.000,0.419,0.708,0.877,0.898,1.000,1.000,15,8
9,1898,16,121.483,92.440,0.837,0.965,0.973,0.838,0.964,0.971,0.838,0.964,0.971,0.837,0.961,0.970,0.851,0.926,0.967,16,15
10,1900,32,181.190,149.884,0.547,0.551,0.735,0.567,0.633,0.752,0.574,0.638,0.751,0.586,0.568,0.749,0.584,0.547,0.746,22,21
11,1902,64,309.442,270.215,0.366,0.259,0.527,0.315,0.246,0.515,0.404,0.286,0.533,0.381,0.176,0.461,0.354,0.137,0.430,21,16
12,2836,2,77.235,46.422,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.296,0.112,0.385,0.302,0.203,0.458,19,11
13,2841,4,89.975,56.097,0.896,1.000,1.000,0.896,1.000,1.000,0.896,1.000,1.000,0.322,0.305,0.646,0.343,0.457,0.724,19,12
14,2843,8,108.200,77.941,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.367,0.581,0.832,0.876,1.000,1.000,19,8
15,2841,16,151.863,123.817,0.849,0.923,0.960,0.849,0.971,0.974,0.849,0.971,0.974,0.848,0.972,0.975,0.848,0.971,0.974,16,16
16,2839,32,241.970,202.952,0.597,0.646,0.754,0.588,0.653,0.755,0.593,0.659,0.760,0.584,0.598,0.752,0.578,0.550,0.745,25,22
17,2845,64,436.209,380.434,0.360,0.276,0.509,0.325,0.267,0.507,0.416,0.317,0.522,0.386,0.197,0.481,0.347,0.157,0.453,25,19
18,3792,2,85.584,51.929,0.866,1.000,1.000,0.866,1.000,1.000,0.866,1.000,1.000,0.304,0.109,0.380,0.311,0.197,0.454,20,11
19,3798,4,101.963,66.069,0.886,1.000,1.000,0.886,1.000,1.000,0.886,1.000,1.000,0.313,0.264,0.624,0.331,0.451,0.723,22,12
20,3788,8,132.740,97.457,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.352,0.518,0.805,0.820,0.974,0.984,23,9
21,3783,16,190.814,153.680,0.798,0.907,0.951,0.815,0.894,0.952,0.828,0.964,0.970,0.828,0.966,0.971,0.828,0.966,0.971,16,16
22,3791,32,314.404,264.209,0.634,0.748,0.840,0.645,0.761,0.841,0.661,0.777,0.844,0.655,0.769,0.843,0.635,0.683,0.832,31,25
23,3792,64,565.290,487.706,0.364,0.308,0.532,0.375,0.313,0.532,0.418,0.326,0.539,0.392,0.252,0.519,0.388,0.194,0.494,30,21
24,4739,2,93.837,60.724,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.296,0.102,0.375,0.311,0.176,0.441,21,12
