,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,957,2,269.405,211.229,0.855,1.0,1.0,0.855,1.0,1.0,0.855,1.0,1.0,0.317,0.176,0.441,0.366,0.313,0.535,12,7
1,953,4,361.215,302.333,0.905,1.0,1.0,0.905,1.0,1.0,0.905,1.0,1.0,0.357,0.45,0.722,0.462,0.748,0.854,12,7
2,953,8,551.695,485.665,0.888,1.0,1.0,0.888,1.0,1.0,0.888,1.0,1.0,0.888,1.0,1.0,0.888,1.0,1.0,8,8
3,959,16,909.8,828.449,0.818,0.799,0.937,0.843,0.974,0.978,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,1620.322,1500.476,0.549,0.614,0.742,0.532,0.629,0.751,0.529,0.597,0.742,0.525,0.513,0.731,0.482,0.409,0.704,20,17
5,951,64,2745.553,2467.79,0.328,0.154,0.516,0.311,0.143,0.502,0.371,0.156,0.519,0.343,0.107,0.394,0.352,0.059,0.289,16,8
6,1892,2,400.545,322.557,0.874,1.0,1.0,0.874,1.0,1.0,0.874,1.0,1.0,0.317,0.144,0.41,0.318,0.241,0.487,16,9
7,1896,4,553.677,474.191,0.882,1.0,1.0,0.882,1.0,1.0,0.882,1.0,1.0,0.341,0.372,0.684,0.333,0.578,0.782,15,9
8,1895,8,873.237,781.114,0.898,1.0,1.0,0.898,1.0,1.0,0.898,1.0,1.0,0.419,0.707,0.877,0.898,1.0,1.0,15,8
9,1898,16,1476.965,1354.825,0.848,0.927,0.967,0.809,0.907,0.961,0.838,0.964,0.971,0.837,0.962,0.97,0.851,0.926,0.967,16,15
10,1900,32,2691.789,2527.188,0.595,0.648,0.752,0.585,0.638,0.748,0.582,0.647,0.755,0.586,0.568,0.748,0.584,0.547,0.746,22,21
11,1902,64,5141.493,4824.012,0.354,0.254,0.519,0.314,0.254,0.517,0.406,0.28,0.534,0.37,0.176,0.457,0.354,0.137,0.43,21,16
12,2836,2,580.082,681.966,0.881,1.0,1.0,0.881,1.0,1.0,0.881,1.0,1.0,0.301,0.109,0.381,0.302,0.203,0.458,20,11
13,2841,4,1166.29,1001.286,0.896,1.0,1.0,0.896,1.0,1.0,0.896,1.0,1.0,0.33,0.301,0.645,0.343,0.457,0.724,19,12
14,2843,8,1845.507,1645.312,0.876,1.0,1.0,0.876,1.0,1.0,0.876,1.0,1.0,0.374,0.562,0.824,0.876,1.0,1.0,20,8
15,2841,16,3081.73,2816.495,0.847,0.922,0.958,0.849,0.971,0.974,0.849,0.971,0.974,0.849,0.97,0.974,0.848,0.971,0.974,16,16
16,2839,32,5472.329,5118.366,0.597,0.643,0.755,0.561,0.633,0.755,0.599,0.658,0.759,0.584,0.612,0.753,0.578,0.55,0.745,26,22
17,2845,64,10425.763,9835.916,0.366,0.288,0.514,0.333,0.288,0.514,0.415,0.308,0.519,0.389,0.21,0.483,0.347,0.157,0.453,26,19
18,3792,2,1075.583,897.276,0.866,1.0,1.0,0.866,1.0,1.0,0.866,1.0,1.0,0.296,0.113,0.385,0.311,0.197,0.454,19,11
19,3798,4,1541.795,1335.404,0.886,1.0,1.0,0.886,1.0,1.0,0.886,1.0,1.0,0.322,0.284,0.636,0.331,0.451,0.723,20,12
20,3788,8,2412.647,2163.445,0.892,1.0,1.0,0.892,1.0,1.0,0.892,1.0,1.0,0.371,0.507,0.803,0.82,0.974,0.984,23,9
21,3783,16,4060.252,3714.186,0.85,0.91,0.958,0.808,0.89,0.951,0.828,0.964,0.97,0.828,0.963,0.969,0.828,0.966,0.971,16,16
22,3791,32,7233.64,6799.662,0.652,0.72,0.832,0.629,0.745,0.835,0.662,0.777,0.845,0.653,0.773,0.846,0.635,0.683,0.832,31,25
23,3792,64,13813.026,13036.338,0.353,0.258,0.521,0.347,0.297,0.533,0.421,0.328,0.537,0.405,0.241,0.516,0.388,0.194,0.494,28,21
24,4739,2,1337.559,1126.135,0.885,1.0,1.0,0.885,1.0,1.0,0.885,1.0,1.0,0.3,0.098,0.371,0.311,0.176,0.441,22,12
