ID	did	seurat_cluster	kmeans_cluster	labels
Cell1	1	9	6	1
Cell2	1	8	6	1
Cell3	1	11	1	4
Cell4	1	4	6	5
Cell5	1	10	1	8
Cell6	1	11	1	4
Cell7	1	12	2	3
Cell8	1	1	3	7
Cell9	1	7	1	8
Cell10	1	1	3	7
Cell11	1	12	2	3
Cell12	1	4	6	5
Cell13	1	6	1	4
Cell14	1	4	6	5
Cell15	1	3	7	2
Cell16	1	7	1	8
Cell18	1	4	6	5
Cell19	1	4	6	5
Cell20	1	11	1	4
Cell21	1	4	6	5
Cell22	1	5	2	3
Cell23	1	2	8	6
Cell24	1	3	7	2
Cell25	1	5	2	3
Cell26	1	4	6	5
Cell27	1	2	8	6
Cell28	1	1	3	7
Cell29	1	6	1	4
Cell30	1	10	1	8
Cell31	1	13	6	5
Cell32	1	12	2	3
Cell33	1	3	5	2
Cell34	1	3	7	2
Cell35	1	4	6	5
Cell36	1	3	7	2
Cell37	1	10	1	8
Cell38	1	3	7	2
Cell39	1	6	1	4
Cell40	1	4	6	5
Cell41	1	7	1	8
Cell42	1	13	6	5
Cell43	1	1	3	7
Cell44	1	9	6	1
Cell45	1	7	1	8
Cell47	1	2	4	6
Cell48	1	8	6	1
Cell49	1	7	1	8
Cell51	1	1	3	7
Cell52	1	2	4	6
Cell53	1	9	6	1
Cell54	1	7	1	8
Cell55	1	8	6	1
Cell56	1	5	2	3
Cell57	1	1	3	7
Cell58	1	2	8	6
Cell59	1	3	7	2
Cell60	1	2	4	6
Cell61	1	1	3	7
Cell64	1	11	1	4
Cell65	1	3	5	2
Cell66	1	12	2	3
Cell67	1	7	1	8
Cell68	1	4	6	5
Cell69	1	3	5	2
Cell70	1	1	3	7
Cell71	1	4	6	5
Cell72	1	5	2	3
Cell73	1	10	1	8
Cell74	1	2	8	6
Cell75	1	11	1	4
Cell76	1	2	4	6
Cell77	1	8	6	1
Cell78	1	2	8	6
Cell79	1	12	2	3
Cell80	1	5	2	3
Cell81	1	2	4	6
Cell82	1	7	1	8
Cell83	1	1	3	7
Cell84	1	6	1	4
Cell85	1	5	2	3
Cell86	1	9	6	1
Cell87	1	1	3	7
Cell89	1	2	4	6
Cell90	1	4	6	5
Cell91	1	7	1	8
Cell92	1	8	6	1
Cell93	1	2	8	6
Cell94	1	8	6	1
Cell95	1	1	3	7
Cell97	1	8	6	1
Cell98	1	2	4	6
Cell99	1	5	2	3
Cell100	1	9	6	1
Cell101	1	9	6	1
Cell102	1	1	3	7
Cell103	1	3	5	2
Cell104	1	12	2	3
Cell105	1	10	1	8
Cell106	1	6	1	4
Cell107	1	5	2	3
Cell108	1	11	1	4
Cell109	1	6	1	4
Cell110	1	3	7	2
Cell111	1	6	1	4
Cell112	1	11	1	4
Cell113	1	4	6	5
Cell114	1	3	7	2
Cell115	1	8	6	1
Cell116	1	1	3	7
Cell117	1	11	1	4
Cell118	1	11	1	4
Cell119	1	10	1	8
Cell120	1	7	1	8
Cell122	1	10	1	8
Cell123	1	6	1	4
Cell124	1	2	4	6
Cell126	1	8	6	1
Cell127	1	1	3	7
Cell128	1	5	2	3
Cell129	1	2	8	6
Cell130	1	9	6	1
Cell131	1	9	6	1
Cell132	1	8	6	1
Cell133	1	6	1	4
Cell134	1	9	6	1
Cell135	1	2	8	6
Cell136	1	8	6	1
Cell139	1	5	2	3
Cell140	1	6	1	4
Cell141	1	4	6	5
Cell142	1	5	2	3
Cell143	1	3	5	2
Cell144	1	3	7	2
Cell145	1	6	1	4
Cell146	1	5	2	3
Cell147	1	6	1	4
Cell148	1	8	6	1
Cell149	1	8	6	1
Cell150	1	5	2	3
Cell151	1	1	3	7
Cell152	1	8	6	1
Cell153	1	2	4	6
Cell154	1	4	6	5
Cell155	1	3	7	2
Cell156	1	6	1	4
Cell157	1	6	1	4
Cell158	1	4	6	5
Cell159	1	3	5	2
Cell160	1	1	3	7
Cell161	1	1	3	7
Cell162	1	5	2	3
Cell163	1	6	1	4
Cell164	1	7	1	8
Cell165	1	13	6	5
Cell166	1	2	4	6
Cell167	1	5	2	3
Cell168	1	3	5	2
Cell169	1	2	8	6
Cell170	1	4	6	5
Cell171	1	1	3	7
Cell172	1	2	8	6
Cell173	1	12	2	3
Cell174	1	3	5	2
Cell175	1	13	6	5
Cell176	1	10	1	8
Cell177	1	6	1	4
Cell178	1	2	8	6
Cell179	1	6	1	4
Cell180	1	6	1	4
Cell181	1	10	1	8
Cell182	1	9	6	1
Cell184	1	3	7	2
Cell185	1	1	3	7
Cell186	1	1	3	7
Cell187	1	3	5	2
Cell188	1	3	5	2
Cell189	1	8	6	1
Cell190	1	5	2	3
Cell191	1	4	6	5
Cell192	1	7	1	8
Cell194	1	10	1	8
Cell195	1	9	6	1
Cell196	1	8	6	1
Cell197	1	2	8	6
Cell198	1	1	3	7
Cell199	1	2	8	6
Cell200	1	5	2	3
Cell201	1	10	1	8
Cell202	1	6	1	4
Cell203	1	5	2	3
Cell204	1	5	2	3
Cell205	1	10	1	8
Cell206	1	13	6	5
Cell207	1	3	7	2
Cell208	1	5	2	3
Cell209	1	10	1	8
Cell210	1	1	3	7
Cell211	1	7	1	8
Cell212	1	4	6	5
Cell213	1	11	1	4
Cell214	1	7	1	8
Cell215	1	11	1	4
Cell216	1	2	8	6
Cell217	1	1	3	7
Cell219	1	5	2	3
Cell220	1	8	6	1
Cell221	1	4	6	5
Cell222	1	6	1	4
Cell223	1	4	6	5
Cell224	1	8	6	1
Cell225	1	3	5	2
Cell226	1	2	8	6
Cell227	1	12	2	3
Cell228	1	1	3	7
Cell229	1	5	2	3
Cell230	1	3	7	2
Cell231	1	3	7	2
Cell232	1	1	3	7
Cell233	1	4	6	5
Cell234	1	3	5	2
Cell235	1	7	1	8
Cell238	1	7	1	8
Cell239	1	3	5	2
Cell240	1	7	1	8
Cell241	1	11	1	4
Cell242	1	11	1	4
Cell243	1	2	4	6
Cell244	1	11	1	4
Cell245	1	2	8	6
Cell246	1	3	7	2
Cell247	1	1	3	7
Cell248	1	3	7	2
Cell249	1	6	1	4
Cell250	1	10	1	8
Cell251	1	5	2	3
Cell252	1	10	1	8
Cell254	1	2	8	6
Cell256	1	4	6	5
Cell257	1	6	1	4
Cell258	1	11	1	4
Cell259	1	1	3	7
Cell260	1	5	2	3
Cell261	1	13	6	5
Cell262	1	1	3	7
Cell263	1	1	3	7
Cell264	1	9	6	1
Cell265	1	1	3	7
Cell266	1	10	1	8
Cell267	1	4	6	5
Cell268	1	8	6	1
Cell269	1	13	6	5
Cell270	1	4	6	5
Cell271	1	4	6	5
Cell272	1	1	3	7
Cell273	1	12	2	3
Cell274	1	10	1	8
Cell275	1	4	6	5
Cell276	1	4	6	5
Cell277	1	9	6	1
Cell278	1	1	3	7
Cell279	1	1	3	7
