"","UMAP_1","UMAP_2"
"Cell1",-11.3440732291533,1.72147750796462
"Cell2",-12.1107472709013,1.46748012246276
"Cell3",0.682776994387964,2.10234606207992
"Cell4",-0.39541720660462,-0.595334888084876
"Cell5",-12.5758389762236,0.158332943336023
"Cell6",0.26519349900947,0.9945385152259
"Cell7",2.89035064665542,-9.10794544278001
"Cell8",8.93692023245559,7.12884569110061
"Cell9",-11.9022836020781,2.27674341143752
"Cell10",8.3016901680635,8.4217848771968
"Cell12",0.479632607977251,1.36955523432876
"Cell13",-1.04651849778428,0.43257385434295
"Cell14",0.57609534947143,0.999602466241373
"Cell15",1.64694089380966,-11.8141241079411
"Cell16",-10.0762881568266,2.04781043471481
"Cell17",-9.48617547066941,0.733406103567136
"Cell18",1.13046271292434,2.4954754108348
"Cell19",0.51041053919063,2.314058422462
"Cell20",0.457361839096407,-0.0591043835720887
"Cell21",0.14293172148929,1.6813919538417
"Cell22",0.820277280490259,-10.3562221532903
"Cell23",9.82297427145706,9.53360652865554
"Cell24",2.45814306227432,-11.0921201711736
"Cell25",1.53020531622634,-11.5768013006291
"Cell26",0.771998084466318,-0.159407199009406
"Cell28",8.79530531851516,8.22257804812576
"Cell29",-0.348824196179052,1.26760643662597
"Cell30",-11.7180690100981,1.57096207083846
"Cell31",-1.04198782952561,0.267885416165842
"Cell32",1.49621946303115,-11.0533180242619
"Cell33",3.89397627798782,-9.82738399563645
"Cell34",1.83970374552474,-12.008034706696
"Cell35",-0.350058310349127,2.01517295779373
"Cell37",-9.71399777444138,1.16372805775787
"Cell38",1.0505321690248,-10.5312652593694
"Cell39",0.288034703665758,2.12146961630966
"Cell40",1.39739114729629,0.982295810596002
"Cell41",-10.2756022742583,0.454050272122873
"Cell43",9.05690199820266,8.68827152194167
"Cell44",-10.2911319068266,2.31289970816757
"Cell45",-11.2428168586089,2.43252038897659
"Cell46",0.109275169055323,0.929516434089197
"Cell47",9.56097132651077,6.94754362048293
"Cell48",-11.076907091458,1.95899474562789
"Cell49",-9.62707798989548,0.577680460528387
"Cell50",8.99835593191848,9.53502178134109
"Cell51",9.90391451803909,9.8884277337947
"Cell52",9.95069415060745,7.37040996493484
"Cell53",-10.2543305686308,-0.286095858200537
"Cell54",-10.7149857810332,0.438347264544023
"Cell55",-12.0161074927641,1.19950610341216
