,indRate,mutPro,cxPro,fitness
0,0.3,0.01,0.5, 2347.050196216649
1,0.3,0.01,0.6, 2483.221785868044
2,0.3,0.01,0.7, 2474.928666520029
3,0.3,0.01,0.8, 2306.9459435275035
4,0.3,0.01,0.9, 2356.1894728124994
5,0.3,0.01,1.0, 2347.7321377758913
6,0.3,0.03,0.5, 2224.0571517418784
7,0.3,0.03,0.6, 2215.7486520763973
8,0.3,0.03,0.7, 2212.7917588631867
9,0.3,0.03,0.8, 2163.2224613124354
10,0.3,0.03,0.9, 2160.3984893229403
11,0.3,0.03,1.0, 2182.3575538752907
12,0.3,0.05,0.5, 2152.0937961091267
13,0.3,0.05,0.6, 2218.8028637485154
14,0.3,0.05,0.7, 2155.231043148084
15,0.3,0.05,0.8, 2137.711472795052
16,0.3,0.05,0.9, 2185.1991641995287
17,0.3,0.05,1.0, 2322.3368845421896
18,0.3,0.07,0.5, 2173.911555991784
19,0.3,0.07,0.6, 2160.7315318799765
20,0.3,0.07,0.7, 2166.6798263833703
21,0.3,0.07,0.8, 2153.6995495551732
22,0.3,0.07,0.9, 2188.102135983057
23,0.3,0.07,1.0, 2183.558033715289
24,0.3,0.1,0.5, 2186.269243822795
25,0.3,0.1,0.6, 2175.6667007962806
26,0.3,0.1,0.7, 2197.560849117
27,0.3,0.1,0.8, 2169.73942491798
28,0.3,0.1,0.9, 2153.199348425602
29,0.3,0.1,1.0, 2215.793329379115
30,0.3,0.2,0.5, 2235.9862479654425
31,0.3,0.2,0.6, 2224.1811482135818
32,0.3,0.2,0.7, 2236.1288706112814
33,0.3,0.2,0.8, 2169.9225570514805
34,0.3,0.2,0.9, 2165.8520707572216
35,0.3,0.2,1.0, 2140.6137392359506
36,0.3,0.3,0.5, 2212.848744706552
37,0.3,0.3,0.6, 2349.5631189220367
38,0.3,0.3,0.7, 2393.9073120695607
39,0.3,0.3,0.8, 2167.9351856339995
40,0.3,0.3,0.9, 2283.3808717506254
41,0.3,0.3,1.0, 2319.2844253312755
42,0.3,0.4,0.5, 2515.368046967066
43,0.3,0.4,0.6, 2388.3499610749377
44,0.3,0.4,0.7, 2345.112761267677
45,0.3,0.4,0.8, 2349.6066726360577
46,0.3,0.4,0.9, 2403.031075910381
47,0.3,0.4,1.0, 2216.081991164702
48,0.3,0.5,0.5, 2526.8430092146555
49,0.3,0.5,0.6, 2515.241758694889
50,0.3,0.5,0.7, 2412.153365505388
51,0.3,0.5,0.8, 2467.7150370609097
52,0.3,0.5,0.9, 2513.2014122450755
53,0.3,0.5,1.0, 2317.948791775616
54,0.6,0.01,0.5, 2179.630247363145
55,0.6,0.01,0.6, 2180.7801766587336
56,0.6,0.01,0.7, 2161.6244593237225
57,0.6,0.01,0.8, 2253.063010059452
58,0.6,0.01,0.9, 2226.589044358807
59,0.6,0.01,1.0, 2205.027144798172
60,0.6,0.03,0.5, 2187.478647716237
61,0.6,0.03,0.6, 2156.72533266506
62,0.6,0.03,0.7, 2185.669396224263
63,0.6,0.03,0.8, 2145.9495841075695
64,0.6,0.03,0.9, 2219.8615310969176
65,0.6,0.03,1.0, 2154.5412354682435
66,0.6,0.05,0.5, 2154.5344536483526
67,0.6,0.05,0.6, 2149.0700720554432
68,0.6,0.05,0.7, 2150.32074490351
69,0.6,0.05,0.8, 2152.268368049812
70,0.6,0.05,0.9, 2151.489372075753
71,0.6,0.05,1.0, 2223.620140835544
72,0.6,0.07,0.5, 2145.031435783977
73,0.6,0.07,0.6, 2145.1654034980425
74,0.6,0.07,0.7, 2149.725096188508
75,0.6,0.07,0.8, 2143.339347385299
76,0.6,0.07,0.9, 2136.439940093869
77,0.6,0.07,1.0, 2150.6743859389057
78,0.6,0.1,0.5, 2178.5399405985168
79,0.6,0.1,0.6, 2134.3674608586675
80,0.6,0.1,0.7, 2139.6919060150476
81,0.6,0.1,0.8, 2160.9280427703475
82,0.6,0.1,0.9, 2311.1507735816285
83,0.6,0.1,1.0, 2145.345065185369
84,0.6,0.2,0.5, 2325.9799888884436
85,0.6,0.2,0.6, 2147.5206839123043
86,0.6,0.2,0.7, 2149.437702749579
87,0.6,0.2,0.8, 2146.5497845343293
88,0.6,0.2,0.9, 2322.147647790522
89,0.6,0.2,1.0, 2326.7765928022673
90,0.6,0.3,0.5, 2310.89365462739
91,0.6,0.3,0.6, 2204.021573636434
92,0.6,0.3,0.7, 2231.331850064724
93,0.6,0.3,0.8, 2213.001100070457
94,0.6,0.3,0.9, 2311.286401548241
95,0.6,0.3,1.0, 2235.672048758155
96,0.6,0.4,0.5, 2230.4222707161025
97,0.6,0.4,0.6, 2227.9210004114548
98,0.6,0.4,0.7, 2272.896144529291
99,0.6,0.4,0.8, 2274.6679318696665
100,0.6,0.4,0.9, 2243.313835372412
101,0.6,0.4,1.0, 2268.2432554531715
102,0.6,0.5,0.5, 2482.01102165923
103,0.6,0.5,0.6, 2388.6681934988424
104,0.6,0.5,0.7, 2317.9853696615833
105,0.6,0.5,0.8, 2426.3533868237746
106,0.6,0.5,0.9, 2456.280842990531
107,0.6,0.5,1.0, 2299.275340637759
108,1.0,0.01,0.5, 2168.124235228027
109,1.0,0.01,0.6, 2177.435641218336
110,1.0,0.01,0.7, 2199.5645337963497
111,1.0,0.01,0.8, 2179.836917796301
112,1.0,0.01,0.9, 2192.368934554185
113,1.0,0.01,1.0, 2153.8178356051358
114,1.0,0.03,0.5, 2140.908181239699
115,1.0,0.03,0.6, 2146.211699813638
116,1.0,0.03,0.7, 2129.9733860185147
117,1.0,0.03,0.8, 2149.6500026152544
118,1.0,0.03,0.9, 2147.3276352982425
119,1.0,0.03,1.0, 2147.1097293251746
120,1.0,0.05,0.5, 2147.645004166901
121,1.0,0.05,0.6, 2312.8026158578095
122,1.0,0.05,0.7, 2149.5305516237054
123,1.0,0.05,0.8, 2142.3654349730996
124,1.0,0.05,0.9, 2130.720691642524
125,1.0,0.05,1.0, 2140.7999057021398
126,1.0,0.07,0.5, 2147.039649724957
127,1.0,0.07,0.6, 2140.6097607276333
128,1.0,0.07,0.7, 2142.2367347575732
