,indRate,mutPro,cxPro,fitness
0,1.0,0.01,0.5,300190.65199162194
1,1.0,0.01,0.6,300035.00673621806
2,1.0,0.01,0.7,296368.9335113998
3,1.0,0.01,0.8,304679.89395158243
4,1.0,0.01,0.9,303408.13077514654
5,1.0,0.01,1.0,295676.28977305983
6,1.0,0.03,0.5,295389.6352566021
7,1.0,0.03,0.6,293432.63340424845
8,1.0,0.03,0.7,296051.3833632554
9,1.0,0.03,0.8,302469.2286868089
10,1.0,0.03,0.9,293421.4355781434
11,1.0,0.03,1.0,299621.2145755764
12,1.0,0.05,0.5,293496.2755374078
13,1.0,0.05,0.6,295571.3694540431
14,1.0,0.05,0.7,293416.6968785227
15,1.0,0.05,0.8,293515.8420254057
16,1.0,0.05,0.9,301063.67115634325
17,1.0,0.05,1.0,293433.1364548866
18,1.0,0.07,0.5,293506.1043390312
19,1.0,0.07,0.6,306031.2847039646
20,1.0,0.07,0.7,293571.5770341083
21,1.0,0.07,0.8,293370.3188764894
22,1.0,0.07,0.9,304088.6730546478
23,1.0,0.07,1.0,294667.62366490194
24,1.0,0.1,0.5,294050.0580578881
25,1.0,0.1,0.6,295047.9715942524
26,1.0,0.1,0.7,298862.1738916446
27,1.0,0.1,0.8,296031.5485148667
28,1.0,0.1,0.9,300928.4750227069
29,1.0,0.1,1.0,293443.875039289
30,1.0,0.2,0.5,300180.01214318874
31,1.0,0.2,0.6,300881.7422886793
32,1.0,0.2,0.7,307358.2416542191
33,1.0,0.2,0.8,297628.75826035964
34,1.0,0.2,0.9,298514.0200854992
35,1.0,0.2,1.0,300297.47004816163
36,1.0,0.3,0.5,322736.0771403546
37,1.0,0.3,0.6,328087.1312662004
38,1.0,0.3,0.7,327805.43700463977
39,1.0,0.3,0.8,326062.3415975947
40,1.0,0.3,0.9,326792.63962856587
41,1.0,0.3,1.0,330876.1422401546
42,1.0,0.4,0.5,357661.46618684643
43,1.0,0.4,0.6,332064.8849278475
44,1.0,0.4,0.7,339521.5832497559
45,1.0,0.4,0.8,330233.22186477756
46,1.0,0.4,0.9,337888.03874839196
47,1.0,0.4,1.0,345940.4417697626
48,1.0,0.5,0.5,325437.1259276443
49,1.0,0.5,0.6,351215.2969097854
50,1.0,0.5,0.7,361698.43902784726
51,1.0,0.5,0.8,348934.73455927515
52,1.0,0.5,0.9,348197.5719903647
53,1.0,0.5,1.0,351050.9344350426
