,indRate,mutPro,cxPro,fitness
0,1.0,0.01,0.5,289212.6209842036
1,1.0,0.01,0.6,292484.80607819953
2,1.0,0.01,0.7,287638.61416202213
3,1.0,0.01,0.8,287237.41516166547
4,1.0,0.01,0.9,290188.72042735136
5,1.0,0.01,1.0,290140.011322478
6,1.0,0.03,0.5,288851.6702607497
7,1.0,0.03,0.6,286792.63149014866
8,1.0,0.03,0.7,288811.0648858068
9,1.0,0.03,0.8,289921.08278885647
10,1.0,0.03,0.9,288891.30387676647
11,1.0,0.03,1.0,289450.51739044173
12,1.0,0.05,0.5,290525.1324484077
13,1.0,0.05,0.6,288856.48359908676
14,1.0,0.05,0.7,290636.37499225273
15,1.0,0.05,0.8,289789.5490551774
16,1.0,0.05,0.9,287866.4374152343
17,1.0,0.05,1.0,288629.0164083916
18,1.0,0.07,0.5,288845.42645607895
19,1.0,0.07,0.6,292138.6832978064
20,1.0,0.07,0.7,292140.28264873114
21,1.0,0.07,0.8,288351.75312333246
22,1.0,0.07,0.9,289709.8839843882
23,1.0,0.07,1.0,289210.288193314
24,1.0,0.1,0.5,289463.91511528246
25,1.0,0.1,0.6,288803.83875002875
26,1.0,0.1,0.7,289339.7402263496
27,1.0,0.1,0.8,288936.8928093443
28,1.0,0.1,0.9,290669.4692039209
29,1.0,0.1,1.0,289029.67612699233
30,1.0,0.2,0.5,290958.70523068425
31,1.0,0.2,0.6,292152.28046335804
32,1.0,0.2,0.7,295778.0663657844
33,1.0,0.2,0.8,295893.79140235385
34,1.0,0.2,0.9,293752.11869397113
35,1.0,0.2,1.0,295797.924939607
36,1.0,0.3,0.5,322253.5315532467
37,1.0,0.3,0.6,321092.44271357893
38,1.0,0.3,0.7,316020.6710638788
39,1.0,0.3,0.8,329096.49689568445
40,1.0,0.3,0.9,306732.57585052284
41,1.0,0.3,1.0,322413.4666063018
42,1.0,0.4,0.5,332577.82249523175
43,1.0,0.4,0.6,307739.60889822495
44,1.0,0.4,0.7,322520.31222261407
45,1.0,0.4,0.8,338739.60726784973
46,1.0,0.4,0.9,325425.00682383875
47,1.0,0.4,1.0,331813.2840877279
48,1.0,0.5,0.5,347256.0385290975
49,1.0,0.5,0.6,336596.5291280805
50,1.0,0.5,0.7,344901.764093268
51,1.0,0.5,0.8,320633.1899183459
52,1.0,0.5,0.9,338193.75367123715
53,1.0,0.5,1.0,336554.58075552253
