,indRate,mutPro,cxPro,fitness
0,1.0,0.01,0.5,297424.8347617269
1,1.0,0.01,0.6,297188.23855182686
2,1.0,0.01,0.7,296900.9224183839
3,1.0,0.01,0.8,294248.6570322482
4,1.0,0.01,0.9,297066.0567623934
5,1.0,0.01,1.0,298077.5990623676
6,1.0,0.03,0.5,296232.3456575105
7,1.0,0.03,0.6,294682.5256667555
8,1.0,0.03,0.7,297721.2363529851
9,1.0,0.03,0.8,297124.0584411361
10,1.0,0.03,0.9,294981.6473804946
11,1.0,0.03,1.0,294354.40517251135
12,1.0,0.05,0.5,298932.89829092246
13,1.0,0.05,0.6,298740.6319263057
14,1.0,0.05,0.7,298021.39250682073
15,1.0,0.05,0.8,296919.1439002244
16,1.0,0.05,0.9,297201.3983430794
17,1.0,0.05,1.0,298521.6515503689
18,1.0,0.07,0.5,296476.6548597396
19,1.0,0.07,0.6,294082.3182460881
20,1.0,0.07,0.7,299007.28949483513
21,1.0,0.07,0.8,296184.34415367845
22,1.0,0.07,0.9,295313.78592714394
23,1.0,0.07,1.0,298962.39451644436
24,1.0,0.1,0.5,296417.58223536593
25,1.0,0.1,0.6,296349.72217251564
26,1.0,0.1,0.7,294066.9598544844
27,1.0,0.1,0.8,293995.7614078306
28,1.0,0.1,0.9,296014.210220516
29,1.0,0.1,1.0,294200.16751322075
30,1.0,0.2,0.5,303318.01848398946
31,1.0,0.2,0.6,311235.4685175246
32,1.0,0.2,0.7,297824.9837491913
33,1.0,0.2,0.8,305890.8750146975
34,1.0,0.2,0.9,299192.29362364736
35,1.0,0.2,1.0,307899.6088599037
36,1.0,0.3,0.5,334594.5081638993
37,1.0,0.3,0.6,325612.038970176
38,1.0,0.3,0.7,315835.2456965424
39,1.0,0.3,0.8,317013.38450974465
40,1.0,0.3,0.9,321314.01571064326
41,1.0,0.3,1.0,327374.431070627
42,1.0,0.4,0.5,337970.8664258765
43,1.0,0.4,0.6,336059.68322136666
44,1.0,0.4,0.7,335506.4598356488
45,1.0,0.4,0.8,335203.7447665412
46,1.0,0.4,0.9,318772.9880380836
47,1.0,0.4,1.0,322082.64201635664
48,1.0,0.5,0.5,350468.0770077173
49,1.0,0.5,0.6,358884.925533034
50,1.0,0.5,0.7,339898.2442634125
51,1.0,0.5,0.8,331964.5436938745
52,1.0,0.5,0.9,348630.6937414827
53,1.0,0.5,1.0,356612.2480402522
