,indRate,mutPro,cxPro,fitness
0,1.0,0.01,0.5,86109.14553737124
1,1.0,0.01,0.6,86357.37310492553
2,1.0,0.01,0.7,87368.24989026692
3,1.0,0.01,0.8,86725.66834808384
4,1.0,0.01,0.9,86579.9239680456
5,1.0,0.01,1.0,86859.7203782349
6,1.0,0.03,0.5,86240.54386153884
7,1.0,0.03,0.6,85701.71352041002
8,1.0,0.03,0.7,85692.72229329501
9,1.0,0.03,0.8,85702.01061832675
10,1.0,0.03,0.9,86674.95818134559
11,1.0,0.03,1.0,85825.84803634402
12,1.0,0.05,0.5,85737.06773735888
13,1.0,0.05,0.6,85854.33950940584
14,1.0,0.05,0.7,85983.7908818929
15,1.0,0.05,0.8,85615.04973896556
16,1.0,0.05,0.9,86320.74003264974
17,1.0,0.05,1.0,85660.27370765888
18,1.0,0.07,0.5,85781.94998051044
19,1.0,0.07,0.6,86197.94705316224
20,1.0,0.07,0.7,86168.1786349413
21,1.0,0.07,0.8,85621.70718212618
22,1.0,0.07,0.9,85913.9328320966
23,1.0,0.07,1.0,85676.5445172368
24,1.0,0.1,0.5,85703.77625309295
25,1.0,0.1,0.6,86264.94273783776
26,1.0,0.1,0.7,85658.29803934983
27,1.0,0.1,0.8,86141.91943698513
28,1.0,0.1,0.9,85642.31561803982
29,1.0,0.1,1.0,85807.94978526467
30,1.0,0.2,0.5,87932.14984369143
31,1.0,0.2,0.6,87229.23243370496
32,1.0,0.2,0.7,87257.93608437803
33,1.0,0.2,0.8,88615.32434709748
34,1.0,0.2,0.9,89277.02171031034
35,1.0,0.2,1.0,89356.0376381586
36,1.0,0.3,0.5,97760.64056759381
37,1.0,0.3,0.6,93488.35002627781
38,1.0,0.3,0.7,92549.29307926855
39,1.0,0.3,0.8,95121.956193698
40,1.0,0.3,0.9,97687.73016832372
41,1.0,0.3,1.0,89316.18076648163
42,1.0,0.4,0.5,98309.697214854
43,1.0,0.4,0.6,95864.41712633293
44,1.0,0.4,0.7,100354.45127958049
45,1.0,0.4,0.8,93859.30726699994
46,1.0,0.4,0.9,94487.00338349087
47,1.0,0.4,1.0,97660.59123789416
48,1.0,0.5,0.5,101706.16440478056
49,1.0,0.5,0.6,93583.25532616455
50,1.0,0.5,0.7,95029.60600466286
51,1.0,0.5,0.8,95815.42543233954
52,1.0,0.5,0.9,95243.45458456509
53,1.0,0.5,1.0,98228.03319411853
