,indRate,mutPro,cxPro,fitness
0,1.0,0.01,0.5,293576.923835064
1,1.0,0.01,0.6,290453.1440876981
2,1.0,0.01,0.7,286695.7830187993
3,1.0,0.01,0.8,285179.5806219619
4,1.0,0.01,0.9,288151.83160651446
5,1.0,0.01,1.0,289402.6120977903
6,1.0,0.03,0.5,284887.1537368091
7,1.0,0.03,0.6,287675.8041114824
8,1.0,0.03,0.7,283922.8097969163
9,1.0,0.03,0.8,288585.6960786928
10,1.0,0.03,0.9,290145.72310810874
11,1.0,0.03,1.0,284175.1806828305
12,1.0,0.05,0.5,293221.3558253576
13,1.0,0.05,0.6,283897.5003121339
14,1.0,0.05,0.7,283972.8016780665
15,1.0,0.05,0.8,283900.40705005836
16,1.0,0.05,0.9,284002.7368561514
17,1.0,0.05,1.0,286269.4372400189
18,1.0,0.07,0.5,284488.4125954448
19,1.0,0.07,0.6,284026.4743728082
20,1.0,0.07,0.7,288709.5574320212
21,1.0,0.07,0.8,285489.4757586609
22,1.0,0.07,0.9,283888.9090685661
23,1.0,0.07,1.0,285212.2576173783
24,1.0,0.1,0.5,284046.8232229969
25,1.0,0.1,0.6,288516.2263318074
26,1.0,0.1,0.7,284473.1869121012
27,1.0,0.1,0.8,291730.7679729177
28,1.0,0.1,0.9,287673.72630998073
29,1.0,0.1,1.0,288749.0372609255
30,1.0,0.2,0.5,296186.9403748201
31,1.0,0.2,0.6,296918.81703679945
32,1.0,0.2,0.7,288740.6799071796
33,1.0,0.2,0.8,295518.84328283626
34,1.0,0.2,0.9,291668.05192073504
35,1.0,0.2,1.0,297656.2193316106
36,1.0,0.3,0.5,315119.25431668805
37,1.0,0.3,0.6,314700.8211638592
38,1.0,0.3,0.7,315078.62341965956
39,1.0,0.3,0.8,312051.261647217
40,1.0,0.3,0.9,326461.7549774925
41,1.0,0.3,1.0,304910.64574062417
42,1.0,0.4,0.5,322564.4964975351
43,1.0,0.4,0.6,335197.79458156787
44,1.0,0.4,0.7,330792.7527340454
45,1.0,0.4,0.8,342891.06222036696
46,1.0,0.4,0.9,333309.400377941
47,1.0,0.4,1.0,324302.9841009044
48,1.0,0.5,0.5,327944.1386898941
49,1.0,0.5,0.6,324979.97506037867
50,1.0,0.5,0.7,341731.1719387198
51,1.0,0.5,0.8,328777.2852031168
52,1.0,0.5,0.9,352568.81967983773
53,1.0,0.5,1.0,318736.06160400395
