,ID,did,seurat_cluster,kmeans_cluster,labels,MOEA,SOEA,PhenoGraph
0,Cell2,1,3,12,16,2,7,15
1,Cell3,1,11,14,7,3,5,4
2,Cell4,1,13,11,9,12,11,6
3,Cell5,1,9,6,14,4,0,18
4,Cell6,1,11,14,7,3,5,4
5,Cell7,1,5,3,5,11,10,9
6,Cell8,1,4,9,13,6,13,1
7,Cell9,1,2,2,15,13,6,0
8,Cell10,1,4,9,13,6,13,1
9,Cell11,1,5,3,5,11,10,9
10,Cell12,1,15,13,8,0,15,7
11,Cell13,1,11,14,7,3,5,4
12,Cell14,1,15,13,8,0,15,7
13,Cell15,1,7,4,3,1,2,10
14,Cell16,1,2,1,15,13,6,0
15,Cell17,1,14,8,1,9,8,8
16,Cell18,1,15,13,8,0,15,7
17,Cell19,1,13,11,9,12,11,6
18,Cell20,1,4,9,6,6,13,1
19,Cell21,1,15,5,8,0,15,7
20,Cell22,1,5,3,5,11,10,9
21,Cell23,1,1,9,10,15,4,12
22,Cell24,1,7,4,3,1,2,10
23,Cell25,1,5,3,5,11,10,9
24,Cell26,1,13,16,9,12,11,6
25,Cell27,1,1,9,10,15,4,16
26,Cell28,1,6,6,12,5,14,2
27,Cell30,1,2,1,15,13,6,0
28,Cell31,1,15,5,8,0,15,7
29,Cell32,1,5,3,5,11,10,9
30,Cell34,1,7,4,3,1,2,21
31,Cell35,1,15,13,8,0,15,7
32,Cell36,1,10,7,2,10,1,3
33,Cell37,1,2,1,15,13,6,0
34,Cell38,1,7,4,3,1,2,10
35,Cell39,1,2,1,6,13,6,0
36,Cell40,1,15,5,8,0,15,7
37,Cell41,1,9,6,14,4,0,18
38,Cell42,1,13,11,9,12,11,6
39,Cell43,1,4,9,13,6,13,1
40,Cell44,1,3,12,16,2,7,17
41,Cell45,1,9,6,14,4,0,14
42,Cell46,1,13,11,9,12,11,6
43,Cell47,1,12,14,11,14,3,5
44,Cell48,1,14,8,1,9,8,8
45,Cell49,1,9,6,14,4,0,14
46,Cell50,1,1,9,10,15,4,16
47,Cell51,1,6,6,12,5,14,2
48,Cell53,1,3,12,16,2,7,15
49,Cell54,1,2,1,15,13,6,0
50,Cell55,1,3,12,16,2,7,17
51,Cell56,1,5,3,5,11,10,9
52,Cell57,1,6,6,12,5,14,2
53,Cell59,1,7,4,3,1,2,21
54,Cell60,1,12,14,11,14,3,5
55,Cell61,1,4,9,13,6,13,1
56,Cell62,1,15,5,8,0,15,7
57,Cell63,1,9,6,14,4,0,18
58,Cell64,1,16,9,6,6,13,11
59,Cell65,1,7,4,3,1,2,10
60,Cell66,1,8,10,4,7,9,13
61,Cell69,1,10,7,2,10,1,3
62,Cell70,1,4,9,13,6,13,1
63,Cell71,1,13,16,9,12,11,6
64,Cell72,1,5,3,5,11,10,20
65,Cell73,1,2,15,15,13,6,0
66,Cell74,1,12,14,11,14,3,5
67,Cell75,1,11,14,7,3,5,4
68,Cell76,1,12,14,11,14,3,5
69,Cell77,1,3,12,16,2,7,17
70,Cell78,1,1,9,10,15,4,16
71,Cell79,1,5,3,5,11,10,9
72,Cell80,1,5,3,5,11,10,9
73,Cell81,1,12,14,11,14,3,5
74,Cell82,1,9,6,14,4,0,14
75,Cell83,1,6,6,12,5,14,2
76,Cell84,1,16,9,6,8,12,11
77,Cell85,1,5,3,5,11,10,9
78,Cell86,1,3,12,16,2,7,17
79,Cell87,1,4,9,13,6,13,1
80,Cell88,1,9,6,14,4,0,18
81,Cell89,1,1,9,10,15,4,16
82,Cell90,1,15,13,8,0,15,7
83,Cell91,1,9,6,14,4,0,14
84,Cell92,1,14,8,1,9,8,8
85,Cell93,1,12,14,11,14,3,5
86,Cell94,1,3,12,16,2,7,15
87,Cell95,1,4,9,13,6,13,1
88,Cell96,1,15,5,8,0,15,7
89,Cell98,1,12,14,11,14,3,5
90,Cell99,1,8,10,4,7,9,13
91,Cell101,1,3,12,16,2,7,15
92,Cell102,1,6,6,12,5,14,2
93,Cell103,1,7,4,3,1,2,10
94,Cell104,1,8,10,4,7,9,13
95,Cell105,1,2,2,15,13,6,0
96,Cell106,1,16,9,6,6,13,11
97,Cell107,1,8,10,4,7,9,13
98,Cell108,1,11,14,7,3,5,4
99,Cell109,1,16,9,6,8,12,11
100,Cell110,1,7,4,3,1,2,10
101,Cell111,1,11,14,7,3,5,4
102,Cell113,1,13,16,9,12,11,6
103,Cell114,1,10,7,2,10,1,3
104,Cell116,1,6,6,12,5,14,2
105,Cell117,1,11,14,7,3,5,4
106,Cell118,1,11,14,7,3,5,4
107,Cell119,1,2,15,15,13,6,0
108,Cell120,1,2,15,15,13,6,0
109,Cell121,1,5,3,5,11,10,20
110,Cell122,1,2,15,15,13,6,0
111,Cell123,1,16,9,6,8,12,11
112,Cell125,1,6,6,12,5,14,2
113,Cell126,1,14,8,1,9,8,8
114,Cell127,1,6,6,12,5,14,2
115,Cell128,1,8,10,4,7,9,19
116,Cell129,1,12,14,11,14,3,5
117,Cell130,1,14,8,1,9,8,8
118,Cell131,1,14,8,1,9,8,8
119,Cell132,1,3,12,16,2,7,15
120,Cell133,1,11,14,7,3,5,4
121,Cell134,1,14,8,1,9,8,8
122,Cell135,1,1,9,10,15,4,12
123,Cell136,1,3,12,16,2,7,17
124,Cell137,1,3,12,16,2,7,17
125,Cell138,1,10,7,2,10,1,3
126,Cell139,1,5,3,5,11,10,20
127,Cell140,1,11,14,7,3,5,4
128,Cell141,1,13,11,9,12,11,6
129,Cell142,1,8,10,4,7,9,13
130,Cell143,1,10,7,2,10,1,3
131,Cell144,1,10,7,2,10,1,3
132,Cell145,1,4,9,6,6,13,1
133,Cell146,1,5,3,5,11,10,20
134,Cell147,1,16,9,6,6,13,11
135,Cell149,1,14,8,1,9,8,8
136,Cell150,1,8,10,4,7,9,19
137,Cell151,1,4,9,13,6,13,1
138,Cell152,1,3,12,16,2,7,15
139,Cell153,1,12,14,11,14,3,5
140,Cell154,1,15,5,8,0,15,7
141,Cell156,1,16,9,6,8,12,11
142,Cell157,1,11,14,7,3,5,4
143,Cell158,1,13,16,9,12,11,6
144,Cell159,1,7,4,3,1,2,10
145,Cell161,1,6,6,12,5,14,2
146,Cell162,1,5,3,5,11,10,9
147,Cell163,1,11,14,7,3,5,4
148,Cell164,1,2,2,15,13,6,0
149,Cell165,1,15,13,8,0,15,7
150,Cell166,1,1,9,10,15,4,12
151,Cell167,1,5,3,5,11,10,9
152,Cell168,1,7,4,3,1,2,10
153,Cell169,1,1,9,10,15,4,16
154,Cell170,1,13,16,9,12,11,6
155,Cell171,1,6,6,12,5,14,2
156,Cell172,1,1,9,10,15,4,16
157,Cell173,1,5,3,5,11,10,9
158,Cell174,1,10,7,2,10,1,3
159,Cell175,1,15,13,8,0,15,7
160,Cell176,1,2,2,15,13,6,0
161,Cell177,1,1,9,6,15,4,16
162,Cell178,1,12,14,11,14,3,5
163,Cell180,1,11,14,7,3,5,4
164,Cell181,1,2,2,15,13,6,0
165,Cell182,1,3,12,16,2,7,17
166,Cell183,1,2,15,15,13,6,0
167,Cell184,1,7,4,3,1,2,10
168,Cell185,1,4,9,13,6,13,1
169,Cell187,1,7,4,3,1,2,10
170,Cell188,1,10,7,2,10,1,3
171,Cell189,1,3,12,16,2,7,15
172,Cell190,1,8,10,4,7,9,13
173,Cell191,1,13,16,9,12,11,6
174,Cell192,1,9,6,14,4,0,14
175,Cell193,1,5,3,5,11,10,9
176,Cell194,1,2,15,15,13,6,0
