,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
0,9488,2,130.991,78.12,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.295,0.076,0.347,0.294,0.133,0.404,28,16
1,9500,4,152.183,104.304,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.292,0.204,0.587,0.305,0.339,0.66,29,18
2,9497,8,207.156,158.651,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.351,0.445,0.778,0.337,0.608,0.842,27,18
3,9498,16,321.371,258.52,0.848,0.961,0.969,0.849,0.964,0.97,0.849,0.963,0.97,0.572,0.811,0.912,0.849,0.964,0.97,24,16
4,9499,32,550.625,466.684,0.681,0.767,0.827,0.648,0.752,0.822,0.685,0.777,0.828,0.663,0.752,0.827,0.663,0.749,0.829,29,28
5,9505,64,1056.385,910.092,0.449,0.422,0.614,0.402,0.388,0.608,0.485,0.451,0.62,0.46,0.373,0.618,0.436,0.294,0.608,39,31
0,9488,2,123.842,78.115,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.292,0.076,0.347,0.294,0.133,0.404,28,16
1,9500,4,156.995,107.614,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.291,0.199,0.583,0.305,0.339,0.66,30,18
2,9497,8,209.264,157.163,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.33,0.423,0.769,0.337,0.608,0.842,29,18
3,9498,16,316.239,263.689,0.849,0.962,0.969,0.849,0.965,0.97,0.849,0.963,0.97,0.675,0.873,0.933,0.849,0.964,0.97,21,16
4,9499,32,549.319,472.864,0.677,0.762,0.824,0.673,0.761,0.825,0.685,0.776,0.828,0.675,0.768,0.83,0.663,0.749,0.829,30,28
5,9505,64,1007.302,868.02,0.414,0.374,0.603,0.428,0.401,0.604,0.483,0.449,0.62,0.465,0.374,0.621,0.436,0.294,0.608,40,31
0,9488,2,135.344,88.666,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.282,0.07,0.341,0.294,0.133,0.404,30,16
1,9500,4,165.881,121.102,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.288,0.202,0.584,0.305,0.339,0.66,30,18
2,9497,8,237.037,183.326,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.336,0.447,0.779,0.337,0.608,0.842,27,18
3,9498,16,372.652,311.332,0.849,0.924,0.96,0.814,0.906,0.951,0.849,0.963,0.97,0.512,0.772,0.9,0.849,0.964,0.97,26,16
4,9499,32,663.157,574.134,0.674,0.769,0.83,0.635,0.754,0.823,0.677,0.773,0.828,0.675,0.768,0.83,0.663,0.749,0.829,30,28
5,9505,64,1231.575,1102.834,0.437,0.406,0.619,0.415,0.382,0.607,0.487,0.454,0.62,0.459,0.374,0.617,0.436,0.294,0.608,39,31
0,9488,2,128.935,77.7,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.293,0.073,0.344,0.294,0.133,0.404,29,16
1,9500,4,158.587,104.118,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.284,0.21,0.59,0.305,0.339,0.66,29,18
2,9497,8,209.972,156.643,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.344,0.441,0.778,0.337,0.608,0.842,27,18
3,9498,16,315.877,258.955,0.849,0.924,0.959,0.849,0.963,0.97,0.849,0.963,0.97,0.636,0.86,0.927,0.849,0.964,0.97,22,16
4,9499,32,554.715,471.333,0.684,0.755,0.826,0.657,0.756,0.823,0.683,0.776,0.829,0.677,0.768,0.83,0.663,0.749,0.829,30,28
