,Benchmark,Instance #,Cluster #,mo-time
0,ICELL8_SE_A_kallisto_umap.csv,571,4,53.01911926269531
1,ICELL8_SE_B_kallisto_umap.csv,553,5,52.185709953308105
2,10X_LLU_A_cellranger2.0_umap.csv,2505,7,90.33791160583496
3,10X_LLU_A_cellranger3.1_umap.csv,2825,6,89.53986024856567
4,10X_LLU_A_umitools_umap.csv,2476,7,87.25706028938293
5,10X_LLU_A_zumi_umap.csv,2825,7,92.69273853302002
6,10X_LLU_B_cellranger2.0_umap.csv,1211,5,63.03240180015564
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,63.644081592559814
8,10X_LLU_B_umitools_umap.csv,1184,5,62.16437578201294
9,10X_LLU_B_zumi_umap.csv,1207,5,61.04540205001831
10,10X_NCI_A_cellranger2.0_umap.csv,5355,8,144.0722999572754
11,10X_NCI_A_cellranger3.1_umap.csv,6050,10,180.47219157218933
12,10X_NCI_A_umitools_umap.csv,5344,8,140.62018942832947
13,10X_NCI_A_zumi_umap.csv,5385,8,145.59308457374573
14,10X_NCI_B_cellranger2.0_umap.csv,2585,6,86.25173592567444
15,10X_NCI_B_cellranger3.1_umap.csv,3059,7,98.1979296207428
16,10X_NCI_B_umitools_umap.csv,2630,7,88.37892246246338
17,10X_NCI_B_zumi_umap.csv,2836,7,92.07295799255371
18,10X_NCI_M_A_cellranger2.0_umap.csv,5354,8,145.10947394371033
19,10X_NCI_M_A_cellranger3.1_umap.csv,6097,9,168.48007106781006
20,10X_NCI_M_A_umitools_umap.csv,5339,8,143.7360861301422
21,10X_NCI_M_A_zumi_umap.csv,5416,8,144.4477801322937
22,10X_NCI_M_B_cellranger2.0_umap.csv,2589,7,89.1897668838501
23,10X_NCI_M_B_cellranger3.1_umap.csv,3046,7,96.27052855491638
24,10X_NCI_M_B_umitools_umap.csv,2628,6,84.7445969581604
25,10X_NCI_M_B_zumi_umap.csv,2805,7,91.00392389297485
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,44.73553538322449
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,48.49053382873535
28,C1_FDA_HT_A_rsem_umap.csv,197,3,45.44637155532837
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,49.10567784309387
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,47.4936203956604
31,C1_FDA_HT_B_rsem_umap.csv,231,3,49.23774790763855
32,C1_LLU_A_featureCounts_umap.csv,70,3,46.268494844436646
33,C1_LLU_A_kallisto_umap.csv,72,3,46.56862735748291
34,C1_LLU_A_rsem_umap.csv,71,3,44.32536768913269
35,C1_LLU_B_featureCounts_umap.csv,59,3,45.18240284919739
36,C1_LLU_B_kallisto_umap.csv,60,3,47.9023540019989
37,C1_LLU_B_rsem_umap.csv,60,3,43.0239155292511
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,51.77896523475647
39,ICELL8_PE_A_kallisto_umap.csv,570,4,51.175095558166504
40,ICELL8_PE_A_rsem_umap.csv,563,4,51.760061264038086
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,51.85264992713928
42,ICELL8_PE_B_kallisto_umap.csv,551,4,50.918862104415894
43,ICELL8_PE_B_rsem_umap.csv,548,4,51.06340003013611
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,50.74103283882141
45,ICELL8_SE_A_rsem_umap.csv,569,4,52.14226269721985
46,ICELL8_SE_B_featureCounts_umap.csv,550,4,50.95588135719299
47,ICELL8_SE_B_rsem_umap.csv,549,5,52.944988489151
