,Benchmark,Instance #,Cluster #,mo-time
0,ICELL8_SE_A_kallisto_umap.csv,571,4,61.53112268447876
1,ICELL8_SE_B_kallisto_umap.csv,553,5,63.814472913742065
2,10X_LLU_A_cellranger2.0_umap.csv,2505,7,129.23676943778992
3,10X_LLU_A_cellranger3.1_umap.csv,2825,8,150.67744874954224
4,10X_LLU_A_umitools_umap.csv,2476,8,136.88946771621704
5,10X_LLU_A_zumi_umap.csv,2825,7,142.29176831245422
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,85.91387343406677
7,10X_LLU_B_cellranger3.1_umap.csv,1327,6,87.74352359771729
8,10X_LLU_B_umitools_umap.csv,1184,6,83.78392291069031
9,10X_LLU_B_zumi_umap.csv,1207,6,83.95229530334473
10,10X_NCI_A_cellranger2.0_umap.csv,5355,9,265.1154429912567
11,10X_NCI_A_cellranger3.1_umap.csv,6050,9,299.01283407211304
12,10X_NCI_A_umitools_umap.csv,5344,9,267.80705070495605
13,10X_NCI_A_zumi_umap.csv,5385,10,289.2858216762543
14,10X_NCI_B_cellranger2.0_umap.csv,2585,7,134.51898074150085
15,10X_NCI_B_cellranger3.1_umap.csv,3059,8,156.6359088420868
16,10X_NCI_B_umitools_umap.csv,2630,7,135.4306890964508
17,10X_NCI_B_zumi_umap.csv,2836,7,143.22233605384827
18,10X_NCI_M_A_cellranger2.0_umap.csv,5354,9,267.6300871372223
19,10X_NCI_M_A_cellranger3.1_umap.csv,6097,10,320.2304735183716
20,10X_NCI_M_A_umitools_umap.csv,5339,9,267.1342158317566
21,10X_NCI_M_A_zumi_umap.csv,5416,9,267.31237411499023
22,10X_NCI_M_B_cellranger2.0_umap.csv,2589,7,133.30553007125854
23,10X_NCI_M_B_cellranger3.1_umap.csv,3046,8,157.61687707901
24,10X_NCI_M_B_umitools_umap.csv,2628,7,132.58025693893433
25,10X_NCI_M_B_zumi_umap.csv,2805,7,139.18845915794373
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,55.182183265686035
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,55.83005404472351
28,C1_FDA_HT_A_rsem_umap.csv,197,3,55.51066732406616
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,55.23821496963501
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,55.92806434631348
31,C1_FDA_HT_B_rsem_umap.csv,231,4,55.72566533088684
32,C1_LLU_A_featureCounts_umap.csv,70,3,53.524120569229126
33,C1_LLU_A_kallisto_umap.csv,72,3,53.27769351005554
34,C1_LLU_A_rsem_umap.csv,71,3,49.4066367149353
35,C1_LLU_B_featureCounts_umap.csv,59,3,49.584927558898926
36,C1_LLU_B_kallisto_umap.csv,60,3,54.49683976173401
37,C1_LLU_B_rsem_umap.csv,60,3,48.76658749580383
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,63.7808518409729
39,ICELL8_PE_A_kallisto_umap.csv,570,5,63.20825004577637
40,ICELL8_PE_A_rsem_umap.csv,563,5,62.98915219306946
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,61.63023328781128
42,ICELL8_PE_B_kallisto_umap.csv,551,4,61.49227595329285
43,ICELL8_PE_B_rsem_umap.csv,548,4,62.51906490325928
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,62.33907175064087
45,ICELL8_SE_A_rsem_umap.csv,569,5,62.50911521911621
46,ICELL8_SE_B_featureCounts_umap.csv,550,4,61.08951497077942
47,ICELL8_SE_B_rsem_umap.csv,549,5,62.40880608558655
