,Benchmark,Instance #,Cluster #,so-time
0,ICELL8_SE_A_kallisto_umap.csv,571,4,167.79907035827637
1,ICELL8_SE_B_kallisto_umap.csv,553,5,191.87173533439636
2,10X_LLU_A_cellranger2.0_umap.csv,2505,7,925.119148015976
3,10X_LLU_A_cellranger3.1_umap.csv,2825,7,1032.941267490387
4,10X_LLU_A_umitools_umap.csv,2476,7,909.6009705066681
5,10X_LLU_A_zumi_umap.csv,2825,7,1030.862779378891
6,10X_LLU_B_cellranger2.0_umap.csv,1211,6,422.8745119571686
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,405.6964259147644
8,10X_LLU_B_umitools_umap.csv,1184,6,413.52118825912476
9,10X_LLU_B_zumi_umap.csv,1207,6,421.2565085887909
10,10X_NCI_A_cellranger2.0_umap.csv,5355,9,2366.175512313843
11,10X_NCI_A_cellranger3.1_umap.csv,6050,10,2908.935900449753
12,10X_NCI_A_umitools_umap.csv,5344,9,2377.665357351303
13,10X_NCI_A_zumi_umap.csv,5385,9,2400.246294736862
14,10X_NCI_B_cellranger2.0_umap.csv,2585,7,945.794365644455
15,10X_NCI_B_cellranger3.1_umap.csv,3059,8,1241.95827460289
16,10X_NCI_B_umitools_umap.csv,2630,7,967.6655507087708
17,10X_NCI_B_zumi_umap.csv,2836,7,1040.4570083618164
18,10X_NCI_M_A_cellranger2.0_umap.csv,5354,8,2129.1171131134033
19,10X_NCI_M_A_cellranger3.1_umap.csv,6097,9,2693.7610626220703
20,10X_NCI_M_A_umitools_umap.csv,5339,9,2521.651164293289
21,10X_NCI_M_A_zumi_umap.csv,5416,9,3357.533946275711
22,10X_NCI_M_B_cellranger2.0_umap.csv,2589,7,1384.2527160644531
23,10X_NCI_M_B_cellranger3.1_umap.csv,3046,8,1712.5668909549713
24,10X_NCI_M_B_umitools_umap.csv,2628,7,1369.4310808181763
25,10X_NCI_M_B_zumi_umap.csv,2805,7,1460.5107991695404
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,107.38477921485901
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,108.19083499908447
28,C1_FDA_HT_A_rsem_umap.csv,197,3,109.29845976829529
29,C1_FDA_HT_B_featureCounts_umap.csv,231,4,132.40089678764343
30,C1_FDA_HT_B_kallisto_umap.csv,224,4,129.013201713562
31,C1_FDA_HT_B_rsem_umap.csv,231,4,131.58179450035095
32,C1_LLU_A_featureCounts_umap.csv,70,3,72.46029448509216
33,C1_LLU_A_kallisto_umap.csv,72,3,72.95961451530457
34,C1_LLU_A_rsem_umap.csv,71,3,74.99753952026367
35,C1_LLU_B_featureCounts_umap.csv,59,3,67.12995481491089
36,C1_LLU_B_kallisto_umap.csv,60,3,71.84029579162598
37,C1_LLU_B_rsem_umap.csv,60,3,71.7338764667511
38,ICELL8_PE_A_featureCounts_umap.csv,568,5,265.35789823532104
39,ICELL8_PE_A_kallisto_umap.csv,570,5,260.06665325164795
40,ICELL8_PE_A_rsem_umap.csv,563,5,255.68642330169678
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,217.00003027915955
42,ICELL8_PE_B_kallisto_umap.csv,551,4,226.19457721710205
43,ICELL8_PE_B_rsem_umap.csv,548,4,232.3566689491272
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,237.66604828834534
45,ICELL8_SE_A_rsem_umap.csv,569,5,279.10975790023804
46,ICELL8_SE_B_featureCounts_umap.csv,550,4,239.60989618301392
47,ICELL8_SE_B_rsem_umap.csv,549,5,269.4372491836548
