,Benchmark,Instance #,Cluster #,so-time
0,ICELL8_SE_A_kallisto_umap.csv,571,4,30.95547103881836
1,ICELL8_SE_B_kallisto_umap.csv,553,5,32.15495824813843
2,10X_LLU_A_cellranger2.0_umap.csv,2505,6,60.470194578170776
3,10X_LLU_A_cellranger3.1_umap.csv,2825,7,69.40004873275757
4,10X_LLU_A_umitools_umap.csv,2476,7,64.54774880409241
5,10X_LLU_A_zumi_umap.csv,2825,7,70.77351808547974
6,10X_LLU_B_cellranger2.0_umap.csv,1211,5,40.53189992904663
7,10X_LLU_B_cellranger3.1_umap.csv,1327,5,40.96514368057251
8,10X_LLU_B_umitools_umap.csv,1184,5,40.41845631599426
9,10X_LLU_B_zumi_umap.csv,1207,6,42.58597922325134
10,10X_NCI_A_cellranger2.0_umap.csv,5355,8,118.0098352432251
11,10X_NCI_A_cellranger3.1_umap.csv,6050,9,140.37750601768494
12,10X_NCI_A_umitools_umap.csv,5344,9,126.92629647254944
13,10X_NCI_A_zumi_umap.csv,5385,9,128.29571437835693
14,10X_NCI_B_cellranger2.0_umap.csv,2585,7,65.69523286819458
15,10X_NCI_B_cellranger3.1_umap.csv,3059,8,78.29162812232971
16,10X_NCI_B_umitools_umap.csv,2630,7,66.34864544868469
17,10X_NCI_B_zumi_umap.csv,2836,7,70.2425172328949
18,10X_NCI_M_A_cellranger2.0_umap.csv,5354,9,128.45585703849792
19,10X_NCI_M_A_cellranger3.1_umap.csv,6097,10,153.05133605003357
20,10X_NCI_M_A_umitools_umap.csv,5339,10,136.35319781303406
21,10X_NCI_M_A_zumi_umap.csv,5416,8,119.81509256362915
22,10X_NCI_M_B_cellranger2.0_umap.csv,2589,7,65.68190145492554
23,10X_NCI_M_B_cellranger3.1_umap.csv,3046,8,78.90407466888428
24,10X_NCI_M_B_umitools_umap.csv,2628,7,66.48319220542908
25,10X_NCI_M_B_zumi_umap.csv,2805,7,69.96305918693542
26,C1_FDA_HT_A_featureCounts_umap.csv,197,3,26.960651874542236
27,C1_FDA_HT_A_kallisto_umap.csv,195,3,26.301145315170288
28,C1_FDA_HT_A_rsem_umap.csv,197,3,26.759655714035034
29,C1_FDA_HT_B_featureCounts_umap.csv,231,3,26.76878046989441
30,C1_FDA_HT_B_kallisto_umap.csv,224,3,27.455794095993042
31,C1_FDA_HT_B_rsem_umap.csv,231,3,27.36523675918579
32,C1_LLU_A_featureCounts_umap.csv,70,3,27.331072330474854
33,C1_LLU_A_kallisto_umap.csv,72,3,26.403122186660767
34,C1_LLU_A_rsem_umap.csv,71,3,27.43127751350403
35,C1_LLU_B_featureCounts_umap.csv,59,3,27.21527910232544
36,C1_LLU_B_kallisto_umap.csv,60,3,27.322353839874268
37,C1_LLU_B_rsem_umap.csv,60,3,25.665929555892944
38,ICELL8_PE_A_featureCounts_umap.csv,568,4,30.868118286132812
39,ICELL8_PE_A_kallisto_umap.csv,570,4,30.586438179016113
40,ICELL8_PE_A_rsem_umap.csv,563,4,30.345646142959595
41,ICELL8_PE_B_featureCounts_umap.csv,547,4,31.352991104125977
42,ICELL8_PE_B_kallisto_umap.csv,551,4,31.18425726890564
43,ICELL8_PE_B_rsem_umap.csv,548,4,30.48676061630249
44,ICELL8_SE_A_featureCounts_umap.csv,570,4,30.491594076156616
45,ICELL8_SE_A_rsem_umap.csv,569,4,30.791595220565796
46,ICELL8_SE_B_featureCounts_umap.csv,550,4,30.618938446044922
47,ICELL8_SE_B_rsem_umap.csv,549,4,31.161039113998413
