,Benchmark,Instance #,Cluster #,so-time
35,C1_LLU_B_featureCounts_umap.csv,59,3,71.43022871017456
35,C1_LLU_B_featureCounts_umap.csv,59,3,51.16558170318604
35,C1_LLU_B_featureCounts_umap.csv,59,3,67.21530771255493
35,C1_LLU_B_featureCounts_umap.csv,59,3,70.26863145828247
35,C1_LLU_B_featureCounts_umap.csv,59,3,65.87983918190002
35,C1_LLU_B_featureCounts_umap.csv,59,3,51.508349895477295
35,C1_LLU_B_featureCounts_umap.csv,59,3,69.80145335197449
35,C1_LLU_B_featureCounts_umap.csv,59,3,72.87244606018066
35,C1_LLU_B_featureCounts_umap.csv,59,3,61.94993424415589
35,C1_LLU_B_featureCounts_umap.csv,59,3,76.60241961479187
35,C1_LLU_B_featureCounts_umap.csv,59,3,71.95891547203064
35,C1_LLU_B_featureCounts_umap.csv,59,3,65.93200492858887
35,C1_LLU_B_featureCounts_umap.csv,59,3,50.32489728927612
35,C1_LLU_B_featureCounts_umap.csv,59,3,58.87145972251892
35,C1_LLU_B_featureCounts_umap.csv,59,3,62.42501759529114
35,C1_LLU_B_featureCounts_umap.csv,59,3,65.05882596969604
35,C1_LLU_B_featureCounts_umap.csv,59,3,74.0280089378357
35,C1_LLU_B_featureCounts_umap.csv,59,3,49.61069846153259
35,C1_LLU_B_featureCounts_umap.csv,59,3,52.32892465591431
35,C1_LLU_B_featureCounts_umap.csv,59,3,66.45319080352783
35,C1_LLU_B_featureCounts_umap.csv,59,3,70.80781888961792
35,C1_LLU_B_featureCounts_umap.csv,59,3,61.155489921569824
35,C1_LLU_B_featureCounts_umap.csv,59,3,50.91899728775024
35,C1_LLU_B_featureCounts_umap.csv,59,3,67.12995481491089
35,C1_LLU_B_featureCounts_umap.csv,59,3,63.2022967338562
35,C1_LLU_B_featureCounts_umap.csv,59,3,75.7459990978241
35,C1_LLU_B_featureCounts_umap.csv,59,3,67.82193231582642
35,C1_LLU_B_featureCounts_umap.csv,59,3,72.12605357170105
35,C1_LLU_B_featureCounts_umap.csv,59,3,50.57769298553467
35,C1_LLU_B_featureCounts_umap.csv,59,3,50.32877779006958
36,C1_LLU_B_kallisto_umap.csv,60,3,50.323384284973145
37,C1_LLU_B_rsem_umap.csv,60,3,68.0494532585144
37,C1_LLU_B_rsem_umap.csv,60,3,71.55335068702698
36,C1_LLU_B_kallisto_umap.csv,60,3,65.80609631538391
36,C1_LLU_B_kallisto_umap.csv,60,3,73.23258233070374
37,C1_LLU_B_rsem_umap.csv,60,3,75.51137614250183
37,C1_LLU_B_rsem_umap.csv,60,3,56.43077373504639
37,C1_LLU_B_rsem_umap.csv,60,3,71.84459853172302
37,C1_LLU_B_rsem_umap.csv,60,3,67.85145092010498
36,C1_LLU_B_kallisto_umap.csv,60,3,58.49873471260071
36,C1_LLU_B_kallisto_umap.csv,60,3,70.4409830570221
36,C1_LLU_B_kallisto_umap.csv,60,3,69.51102209091187
37,C1_LLU_B_rsem_umap.csv,60,3,64.60188508033752
37,C1_LLU_B_rsem_umap.csv,60,3,74.19891047477722
36,C1_LLU_B_kallisto_umap.csv,60,3,70.58829307556152
37,C1_LLU_B_rsem_umap.csv,60,3,50.5224187374115
37,C1_LLU_B_rsem_umap.csv,60,3,63.44300580024719
36,C1_LLU_B_kallisto_umap.csv,60,3,73.29605054855347
37,C1_LLU_B_rsem_umap.csv,60,3,53.070576429367065
36,C1_LLU_B_kallisto_umap.csv,60,3,55.359750509262085
36,C1_LLU_B_kallisto_umap.csv,60,3,64.39439749717712
36,C1_LLU_B_kallisto_umap.csv,60,3,50.22382307052612
37,C1_LLU_B_rsem_umap.csv,60,3,50.371516704559326
36,C1_LLU_B_kallisto_umap.csv,60,3,71.65662598609924
37,C1_LLU_B_rsem_umap.csv,60,3,67.80174803733826
36,C1_LLU_B_kallisto_umap.csv,60,3,74.20430636405945
37,C1_LLU_B_rsem_umap.csv,60,3,74.13517761230469
36,C1_LLU_B_kallisto_umap.csv,60,3,51.12735199928284
36,C1_LLU_B_kallisto_umap.csv,60,3,67.94911432266235
37,C1_LLU_B_rsem_umap.csv,60,3,66.30192589759827
37,C1_LLU_B_rsem_umap.csv,60,3,74.47894644737244
37,C1_LLU_B_rsem_umap.csv,60,3,62.01863765716553
36,C1_LLU_B_kallisto_umap.csv,60,3,50.76903200149536
37,C1_LLU_B_rsem_umap.csv,60,3,71.48672389984131
36,C1_LLU_B_kallisto_umap.csv,60,3,68.44788956642151
